kanji,meaning,onyomi,kunyomi,radicals,radical_names,meaning_story,meaning_hint,reading_story,reading_hint,tags
上,"above, up",じょう,"うえ, あ, のぼ, うわ, かみ","一, ト","Ground, Toe",There's a toe above ground. Look at it.,"Why is this important? There's another kanji with the toe below the ground, and I bet you can guess the meaning of that kanji. So, where's the toe? It's above the ground. Remember, the toe is what's important here (and its location, because you have to find it otherwise they won't be able to sew it back on).","The toe sticking up above the ground is just a little thing... You go up to poke it and then you realize that the toe actually belongs to Joseph (じょう) Stalin. Joe doesn't like people messing with his toes, so you slowly back away.","Joseph Stalin, if you didn't know, has very sensitive toes. He's also very mean. Imagine yourself backing slowly away from Joe as to not incur his mighty wrath.",kanji level1
下,below,"か, げ","した, さが, くだ, お","一, ト","Ground, Toe",There's a toe below ground.,"So, where is the toe now? It's below ground. Imagine yourself digging it out, and thinking... ugh, why does it have to be below ground like this? So irritating. Will I be able to sew it back on in time to save it?","You keep digging for the toe below the ground, and instead of hitting a toe you hit something hard and metallic. You keep digging and digging around it, but it's huge. Turns out, you found yourself a car (か). Keep digging until you unearth the car. Inside, you find the toe you were looking for.","There's another useful on'yomi reading that just isn't useful enough for you to learn now. That reading is げ, but we're only going to worry about that much, much later when you have to learn one or two vocab words that read 下 as げ. That's the problem with really common kanji - too many readings.",kanji level1
大,big,"たい, だい",おお,大,Big,The big radical and the big kanji are exactly the same!,"So, if you know the radical, you know the meaning of this kanji as well.","There's this big guy (that's how you remember the radical, remember?), and he's wearing a huge Tie Dye (たい, だい) shirt. Because he's so huge, the tie dye shirt is also super huge. Everything about him is pretty big, but the tie dye stands out more than anything.","When you look at the big guy in your head, imagine him covered in tie dye head to toe. Think about how ridiculous it looks on him, especially since he's such a big guy. Shirt. Sweatpants. Hat. Shoes... it goes on and on.",kanji level1
八,eight,はち,や,ハ,Fins,"This isn't exactly the same as the fins radical, but it's close. Sometimes this will happen (where we have to use a slightly 'modified radical' version of the original), so it's good to understand that now, early on. In this case, we have fins. How many fins? eight fins. How do you know that? Because you caught four fish with two fins each.","Count the fins out in front of you, all the way from one to eight. It'll help if you actually do this. Now smell each fin, and think 'wow, I have to smell all eight of these?' Yes, you do.","After you count and smell all eight of your fins, it's time to put them away. You open a large hatch (はち) and put them in. This is where you keep your fins, always putting in eight at a time because that's what the boss wants.","You've asked him why you can only put eight fins at a time in the hatch, but he never wants to answer. What could be down in the hole that the hatch covers? Why is there a hatch at all? What's with numbers and hatches being mysterious?",kanji level1
入,enter,にゅう,"はい, い",入,Enter,"The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for enter first! If you know the radical, you know this kanji means enter as well.","Make sure you know those radicals, yo!","Turns out, after you Enter the teepee (you'll remember that the radical is a teepee with a big entrance to it), you're given a new (にゅう) car!","Imagine lights turning on and flashing, and an entire audience inside. You're at a gameshow, and the announcer announces the neeeeew car in his announcey voice. Feel the surprise. Feel the happiness. Feel the excitement. Check the year on the car, too. It's this year! It really is new!",kanji level1
工,"construction, industry","こう, く",-,工,Construction,"The radical is construction, which is part of the construction industry.","Not to mention, construction of buildings and factories leads to all kinds of new industries as well. Think of all the new industries you could build with construction!","To remember the sound こう we use the name こういち. Think of a construction worker. But, instead of thinking of a normal construction worker, think of one that's just wearing suspenders and a hard hat. No shirt. He's a sexy construction worker, in fact. Then, imagine this sexy construction worker as こういち, your favorite Japanese textbook writer, obviously. Boy is he looking sexy.","If you're somehow not attracted to the hunk of a man that this construction worker version of こういち is, that's okay. It's still ridiculous enough to hook a memory into that brain of yours. Make yourself mad over the fact that he's not following construction site regulations (where's his shirt, shoes, and pants?). That's dangerous! Even if you do look that sexy. Hey, put out that cigarette, it's bad for you! On the other hand, say you do really like what you see (you'll probably have to imagine a better looking version of Koichi's face, though). You two make eye contact. He nods as he puts out his cigarette and takes off his construction worker helmet, letting his long Fabio-esque locks flow. You beckon him over. What happens next is up to you and your own imagination. My guess is you have a conversation about kanji and the best ways to learn it.",kanji level1
山,mountain,さん,やま,山,Mountain,The mountain radical and the mountain kanji are the same.,"Make sure you're studying your radicals. If you are, then you're studying your kanji as well!","Think about mountains talking to each other, calling each other by their names and adding the Japanese name-ender san (さん) to each of their names. 'Hello, Everest-san.' 'Oh hi, Fuji-san.'","Be sure to imagine this vividly. The more absurdly you can imagine it, the more likely you are to remember the reading, san.",kanji level1
口,mouth,"こう, く",くち,口,Mouth,The kanji and the radical that look like this are exactly the same. They are both mouth.,As long as you know the radical mouth you know the kanji mouth.,"Whenever we need to remember the sound こう we use the name こういち. You'll become familiar with this name after a while because the reading こう comes up a lot. Think of a mouth (that should be easy). Now, change it into the scariest mouth you can imagine. Perhaps the teeth are a foot long but just as skinny... or, the lips are bleeding and crispy... whatever scares you, think of it. Then, pan back away from the mouth to see whose mouth it is. Turns out it's こういち's mouth. See こういち there with a terrifying mouth. How scary!","Make sure to vividly imagine that disgusting mouth on こういち. He needs some facial upkeep, I think. The scarier you make it for yourself, and the more ridiculous it is, the more likely you're going to remember this reading. So, imagine away!",kanji level1
九,nine,"きゅう, く",ここの,九,Nine,"Nice! This kanji is the same as the radical that looks just like it (down to the meaning, even!). The radical is Nine and the kanji is Nine making the meaning of this kanji really easy to remember as long as you know the radical first.","If you know the radicals nice and well, you'll know this kanji's meaning nice and well too!","Although this kanji has two on'yomi to learn, the pronunciations of those two on'yomi are very similar, and nearly the same thing (making it easier to remember). Let's use the meaning, Nine, to remember the on'yomi as well. Whenever you try to hit on some cute (きゅう, く) guy/girl (your choice) Nine out of ten times they just spit in your face.","Think of the cutest guy or girl you can. It's important to get it in your mind that these people are super cute, and not just 'somebody.' If you have to, think puppies and kittens instead, the ultimate-cute-machine. They just bite you nine out of ten times. And yes, you keep stats, so imagine yourself writing down stats of this every time you try.",kanji level1
一,one,いち,ひと,一,Ground,"Lying on the ground is something that looks just like the ground, the number One. Why is this One lying down? It's been shot by the number two. It's lying there, bleeding out and dying. The number One doesn't have long to live.","To remember the meaning of One, imagine yourself there at the scene of the crime. You grab One in your arms, trying to prop it up, trying to hear its last words. Instead, it just splatters some blood on your face. 'Who did this to you?' you ask. The number One points weakly, and you see number Two running off into an alleyway. He's always been jealous of number One and knows he can be number one now that he's taken the real number one out.","As you're sitting there next to One, holding him up, you start feeling a weird sensation all over your skin. From the wound comes a fine powder (obviously coming from the special bullet used to kill One) that causes the person it touches to get extremely itchy (いち).","Make sure you feel the ridiculously itchy sensation covering your body. It climbs from your hands, where you're holding the number One up, and then goes through your arms, crawls up your neck, goes down your body, and then covers everything. It becomes uncontrollable, and you're scratching everywhere, writhing on the ground. It's so itchy that it's the most painful thing you've ever experienced (you should imagine this vividly, so you remember the reading of this kanji).",kanji level1
