word,translation,part_of_speech,pronunciation,ex_1_jp,ex_1_en,ex_2_jp,ex_2_en,ex_3_jp,ex_3_en,meaning_story,reading_story,pitch_accent,tag
大人,adult,NOUN,おとな,これは、大人のりょうきんです。,This is the adult price.,大人は三人だけです。,There are only three adults.,大人たちはいざかやにいった。,Some of the adults went to an izakaya.,"This kanji combines big and person. If you're a child, how do you think of adults? You just think of them like big people. That's why this combination of kanji means adult.","""I'm an adult, which means I have adult responsibilities. Oh, Toner (おとな)? I need some of that for my terrible printer..."" ... now feel so sad you have such a terrible printer that runs out of toner every day. Ohhhh Toner!",ウꜜシ *** オトナ *** タイジン *** ダイニン,level1 vocab
一人,"alone, one person",NOUN,ひとり,一人でカラオケにいきました。,I went to karaoke alone.,一人はアメリカ人です。,One of them is American.,むすめは、きょうはじめて一人でおつかいにいきました。,My daughter did the errands by herself for the first time today.,"When there's one person, what are they? Well, they're either just going to be simply one person or alone.","The reading for this vocab doesn't follow any rules you learned previously. It's an exception, which means you have to learn the reading separately too. Spend a few moments trying to remember this word, look away for 10 seconds, and then try to recall its reading. Could you do it? Try again, this time in thirty seconds. Did you do it again? Okay, go ahead and move on. You may know it now, though you'll need to recall it again in the next 5-10 minutes if you want to remember it for good. Alternatively, if you know the reading for the vocab word 一つ (in the same level as this word), you can know that it uses the same reading!",イチꜜニン *** ヒトꜜリ,level1 vocab
アメリカ人,american,NOUN,あめりかじん,おれはアメリカ人か？,Am I American?,アメリカ人が二人います。,There are two American people.,アメリカ人の女とともだちになった。,I made friends with an American girl.,"The アメリカ part is pretty easy so long as you know katakana. It's the word for ""America."" You know that 人 means ""person,"" so you can figure out that America + Person = American.","Often times when two kanji come together to form a combo kanji you use the on'yomi readings. This is similar to that, though instead of another kanji it's a foreign word. So, the reading of 人 is the on'yomi reading じん, which you learned already in the kanji. This pattern works with almost any location as well. Just add a country name + 人 and you've described the people who live there. You'll see more of these before you're finished here.",アメリカꜜジン,level1 vocab
人工,"artificial, man made",NOUN AND NO ADJECTIVE,じんこう,あなたののうは、ほんとうに人工ののうなんですか？,Is your brain really artificial?,この川は、人工の川です。,This river is man-made.,にわに人工しばをしいてみました。,I put artificial turf in the garden.,"A person of industry makes a lot of things by hand, so everything they make is artificial, and also means it's man made.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,ジンコー,level1 vocab
大きい,"big, large",I ADJECTIVE,おおきい,このぼうしは大きすぎます。,This hat is too big.,その大きいももを二つください。,Can I get those two big peaches?,わたしのあかちゃんは、こうしとおなじくらい大きい。,My baby is about as big as a calf.,"This is the adjective form of the kanji 大 (big). It has the same meaning, though it is a word for describing. Words that end with い are often adjectives, remember that for future words as well. So, as long as you know the meaning of this kanji, you can transfer that to the meaning of this word. It's the adjective big / large.","What do you do when you see something really, really big? You say おお because you can't believe your eyes. Imagine something really large and say おお out loud to help seal the memory in that brain of yours.",オーキꜜイ,level1 vocab
大した,"considerable, great",ADJECTIVE,たいした,それは大したことはない。,It’s not a big deal.,まったく大した女だよ。,She is such a great woman.,マクドナルドのしゃちょうになれれば大したものだ。,Being the president of McDonald’s would be a big deal.,"した is the past tense form of する (which means ""to do""). So, essentially this word is ""did big."" What is something that ""did big""? It's something that's considerable or great.","The reading for the 大 part is actually the on'yomi reading you learned when learning its kanji. So, as long as you remember that (and remember to use that reading), you can read this word as well. 大した = たいした.",タꜜイシタ,level1 vocab
下,"down, below",NOUN,した,つくえの下にはなにがありますか。,What’s under the desk?,下に下りてきてください。,Please come down.,ぼくはTofuguオフィスの下のかいにすんでいる。,I live on the floor below the Tofugu office.,"When a vocab is a single kanji with no okurigana (that's hiragana attached to the kanji) it tends to steal the meaning of the kanji it comes from. So, this one is below or down.","When a vocab is a single kanji and is alone it tends to use the kun'yomi reading. You learned the on'yomi reading for this kanji, so now it's time to learn the kun'yomi reading to learn this vocabulary word. What's below you? What's below your foot? Oh no. The worst thing possible: It's した.",ゲꜜ *** ゲ *** シタꜜ *** シタ *** シモꜜ *** モトꜜ,level1 vocab
八,eight,NUMERAL,はち,がくせいは、きょううちで、八ページをべんきょうします。,Students will study page eight at home today.,あめを八こカバンに入れました。,I put eight candies in my purse.,八じ？ほんとうに、八じ？,Eight o’clock? Are you sure it’s eight o’clock?,When a vocab is a single kanji it usually steals its meaning from its kanji as well. Same goes for this vocab word. It means eight.,"When a vocab is a single kanji and all alone like this, it's usually going to use the kun'yomi. But, because this is a number (exception) it uses the on'yomi instead, meaning you already know the reading from when you learned the kanji!",ハチꜜ,level1 vocab
八つ,eight things,NUMERAL,やっつ,ふくろには、じゃがいもが八つ入っています。,There are eight potatoes in a bag.,八つしかありませんよ。,There are only eight of them.,八つのかおと六つのうでがあるもの、なーんだ。,What has eight faces and six arms?,"This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for eight plus つ. So, this one is eight things.","Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So what eight things do you have? You have eight yachts (やっつ). Go ahead and count them. They're beautiful. Also, be sure not to be confused by this particular reading mnemonic. It includes the つ, even though the つ is outside the reading you need to learn (just makes things easier for you overall). Since you can see the つ outside, it shouldn't be too difficult for you.",ヤツꜜ *** ヤッツꜜ *** ヤッツ,level1 vocab
入り口,entrance,NOUN,いりぐち,入り口のところでまっています。,I will wait for you at the entrance.,入り口が三つあります。,There are three entrances.,入り口にジョニーデップがいるよ。,Johnny Depp is at the entrance.,A mouth that you enter is an entrance.,"Because there's some okurigana (hiragana attached to the kanji) attached, you can bet that 入り will be a kun'yomi reading. This reading comes from the word 入れる. If you know that word already, this one will be easy. If not, then you'll have to think that the entrance you're going in is eerie (いり). Then, because this word is really two separate words put together to form one word, you can guess that 口 also uses the kun'yomi reading, though the く in くち changes to ぐ due to something called rendaku. Just remember that it's ぐち and not くち here.",イリク°チ *** イリクチ *** ハイリꜜク°チ,level1 vocab
フランス人,frenchman,NOUN,ふらんすじん,フランス人のゆうじんができました。,I made a French friend.,二人はアメリカ人で、あとの三人はフランス人です。,Two of them are American and the other three are French.,とてもセクシーなフランス人シェフにあった。,I met a very sexy French chef.,"フランス is ""France."" So what is a ""France person?"" That would be a French Person.","You can treat this word and the 人 kanji on the end like jukugo (combo kanji). Usually, in the case of jukugo, you use the on'yomi reading. So here you'll want to remember to use the on'yomi reading for 人. If you want, you can add 人 to the end of any place name to describe the people that live there!",フランスꜜジン,level1 vocab
山,mountain,NOUN,やま,ともだちといっしょに、山にのぼります。,I climb mountains with my friends.,これはせかい一大きい人工の山なんですよ。,This is the world's biggest man-made mountain.,あさ八じに、はだかではげ山にしゅうごうしましょう。,"At 8 am, let’s meet naked on Bald Mountain.",A vocab made of a single kanji all alone with no okurigana (hiragana attached to the kanji) usually has the same exact meaning as the kanji it's made from. So by that you know that this vocab's meaning is mountain.,"When a vocab is a single kanji all alone with no okurigana (hiragana attached to the kanji) it's usually going to be the kun'yomi reading, which you didn't learn when you learned the kanji. To remember this word's reading we'll use a mnemonic. What are you doing going up into the mountains? You're hunting for yams (やま). Go ahead, imagine yourself doing just that, climbing up the mountain (it's hard work!) and then digging in the ground with your hands, then pulling up that sweet, delicious yam! Mmm!",ヤマꜜ,level1 vocab
口,mouth,NOUN,くち,口にソースがついていますよ。,There is some sauce on your mouth.,これを口に入れてください。,Please put this in your mouth.,きのうから口がとじられない。,I haven’t been able to close my mouth since yesterday.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to have the same meaning as the kanji it came from. From that, you know this word's meaning is mouth.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to use the kun'yomi reading, which you did not learn from learning the kanji. To remember this word, you should use a mnemonic. With your mouth, make a ""kuchi kuchi kou"" (くち) sound. Go ahead, make it. Focus on your mouth and try to imagine each shape it makes while zooming in on it. You're talking to a baby, which is why you're making all these ridiculous noises. Also, instead of ""coo"" at the end, you're saying ""kou,"" because that's the reading of the kanji (こう). くちくちこう！くちくちこう！ Sounds like something from Arrested Development, actually.",クチ,level1 vocab
ふじ山,mount fuji,PROPER NOUN,ふじさん,ふじ山に、ごぜん十一じごろつきたいです。,I want to arrive at Mt. Fuji by around 11 a.m.,ふじ山にはいつも大人のフランス人が三人とちいさいアメリカ人が二人とカナダ人が一人います。,"There are always three adult French people, two small Americans, and one Canadian on Mt. Fuji.",ふじ山はしろいとりのふんでおおわれていた。,Mt. Fuji was covered in white bird poop.,"Just look at this word. What do you think it means? That's right - it's a name (Fuji) plus the kanji for mountain. Put those together, and you have Mount Fuji. In English the ""Mount(ain)"" part comes first. In Japanese, it comes at the end, sort of like the name ender さん, ちゃん, and so on. You can add 山 to the end of any mountain's name too, not just Mount Fuji.","Normally ふじ would be in kanji, but I wanted you to see this kanji use in action since it's more useful than just being used on Mount Fuji. This is treated like a jukugo word (combo kanji word). In the case of jukugo, usually the on'yomi reading is used, meaning you just have to remember the on'yomi reading of 山. Luckily, you learned this when you were learning the kanji, so you should already know it!",,level1 vocab
九,nine,NUMERAL,"きゅう, く",まいにち九じかんぐらいべんきょうします。,I study for about nine hours every day.,九ページをひらいてください。,Please open the page 9.,九わの九かんちょうをかっていました。,I used to have nine mynah birds.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word 九, as well. It has the same meaning as its kanji counterpart.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Numbers are the exception, as you might already know. When they're alone with no okurigana they're the on'yomi reading, which you should already know from learning the kanji that makes up this word.",キュꜜー *** クꜜ,level1 vocab
九つ,nine things,NUMERAL,ここのつ,きょうのテストには、じしょをつかうもんだいが九つあります。,There are nine questions that require a dictionary on today’s test.,ねこには九つのいのちがあるってほんとう？,Is it true that a cat has nine lives?,ドーナツを九つつくった。,I made nine donuts.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus つ. So, this one is nine things.","Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have nine of? The nine things that you have are nine coconuts (ここの). Imagine yourself juggling nine coconuts in the air. Try counting them while you're doing this, arriving at nine things.",ココꜜノツ,level1 vocab
一,one,NUMERAL,いち,一ど、あいましょう。,Let’s meet up once.,一いはアメリカ人でした。,First place was an American.,ぼくはせかいで一ばんよわい。,I’m the weakest man in the world.,"As is the case with most vocab words that consist of a single kanji, this vocab word has the same meaning as the kanji it parallels, which is one.","When a vocab word is all alone and has no okurigana (hiragana attached to kanji) connected to it, it usually uses the kun'yomi reading. Numbers are an exception, however. When a number is all alone, with no kanji or okurigana, it is going to be the on'yomi reading, which you learned with the kanji. Just remember this exception for alone numbers and you'll be able to read future number-related vocab to come.",イチꜜ *** イꜜツ *** イツꜜ,level1 vocab
一つ,one thing,NUMERAL,ひとつ,こたえを一つえらびます。,Choose one answer.,お一人さま一つかぎりです。,It's limited to one per customer.,きのう、一つめこぞうにあった。,I met a one-eyed goblin yesterday.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for one plus つ. So, this one is one thing.","Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So, you have one thing. What one thing do you have? You have one of He-Man's Toes, aka a single He-Toe (ひと). So what's the thing you have only one of? You have one He-Toe. Imagine He-Man walking around with one missing toe, trying to find you so he can get it back. At least you'll be able to run faster than him now.",ヒトꜜツ,level1 vocab
人,person,NOUN,ひと,やじるしの人はなんといいますか。,What will the person the arrow is pointing at say?,あの人はなに人ですか？,What is that person's nationality?,人びとは、かれをばかな人だという。,People say he was a stupid person.,"When a vocab is a single kanji all alone, it usually has the same meaning as its kanji parent. That goes for this vocab word as well. Person is person.","When a vocab is a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Since you don't know the kun'yomi reading for this kanji yet, let's use a mnemonic to learn it. What does a person hate more than anything? They hate extreme heat (ひと). You can always put on more clothes to stay warm, but when the heat gets too high, you can only take off so much.",ニꜜン *** ヒトꜜ *** ヒト,level1 vocab
下さい,please give me,EXPRESSION,ください,ここでは、きっぷがいりますから、きっぷをかってきて下さい。,"You need a ticket here, so please go buy one.",りんごを二こ下さい。,Please give me two apples.,フグさん、そっとつねって下さいね。,"Fugu, gently pinch me please.","You know that the kanji 下 means down and that さい sounds like the word ""sigh."" You need to ask someone for something, so you look down, sigh, and say please give me that thing. You're ashamed that you have to ask. But you still need it. Please, please give it to me! We only use this kanji version of ください when we're asking for something, that's why it's ""please give me."" If you're just saying ""please"" you don't need the kanji at all!","The reading for this word is an exceptional reading. You just have to be able to recall the くだ part, though (since さい is already there in the form of the hiragana). So, think about why you have to be polite to this misbehaving kid. Turns out, if you don't, he has the power to initiate a Coup d'état against you and your family, who runs the government. Just imagine yourself thinking over and over ""Okay... I have to be nice to this kid. If I don't... he'll initiate a Coup d'état... and that would ruin my family..."" You're walking on thin ice, here.",,level1 vocab
人口,population,NOUN,じんこう,人口のはんぶんはだんせいです。,Half the population is male.,このむらの人口はたったの二十三にんです。,This village's population is only 23.,じぶんのまちの人口をしらないにほんじんはおおい。,Many Japanese people don’t know the population of their own town.,The amount of people with mouths (that you have to feed) is the population that you have to feed.,Both kanji in this jukugo (combo kanji) use the on'yomi readings that you've already learned! So just make sure you know those and you'll be able to read this too.,ジンコー,level1 vocab
力,"power, strength",NOUN,ちから,おなかがすいて、力がでない。,I’m hungry and losing strength.,あのアメリカ人の女にはふじ山をうごかす力がある。,That American woman has the power to move Mt. Fuji.,おかあさんは、のこりのかぞくがたばになってもかなわない力をもっている。,My mom is more powerful than the rest of my family put together.,"When a vocab word is made up of a single kanji and that's it, it almost always takes the meaning from its parent kanji. So, this vocab word also means power.","When a vocab word is a single kanji all alone with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. You didn't learn the kun'yomi reading with the kanji, so for this vocab word, we'll use a mnemonic. The most powerful man in the world. All his power came from his cheek (ちから). Imagine him blowing up his cheek like a giant balloon, then unleashing his power on you. Thwap thwap thwap thwap.",チカラꜜ,level1 vocab
川,river,NOUN,かわ,この川には、さかながたくさんおよいでいます。,There are a lot of fish swimming in this river.,にほんいちながい川は、しなの川です。,Japan's longest river is Shinano River.,川をみるといつもいかりがこみあげてくる。,"Whenever I see a river, I get so pissed off.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it will usually take the same meaning as the kanji it comes from. So, from that you know that this word means river.",You're in luck - the reading you learned with the kanji is the same as the one you have to learn for this vocab!,カワꜜ,level1 vocab
七,seven,NUMERAL,"なな, しち",あしたのあさ、七じにえきであいませんか。,Why don’t we meet at the station at seven tomorrow morning?,みかんが七こあります。,There are seven mandarin oranges.,七にんのこびととともだちになりたい。,I want to be friends with the seven dwarves.,"When a vocab is alone with no okurigana (that's hiragana attached to a kanji) it usually has the same meaning as the kanji too. That goes for this word as well. So, if you know the kanji's meaning (seven) you'll know the vocab's meaning (seven).","Most single-kanji all-alone vocab words like this use the kun'yomi reading. Numbers are an exception to this rule. That being said, four and seven are exceptions to this exception to the rule (because the on'yomi readings sound too much like the word for ""death""). You should learn both readings for this word, though we're going to go with なな for the main one here. You can remember that because you had seven nanas after you.",シチꜜ *** ナꜜナ,level1 vocab
七つ,seven things,NUMERAL,ななつ,はこのなかにりんごが七つあります。,There are seven apples in a box.,二人でメロンを七つたべました。,Just the two of us ate seven melons.,七つかぞえると、わたしは女になる。,"After I count to seven, I will be a woman.","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for seven plus つ. So, this one is seven things.","Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have seven of? The seven things that you have are seven Nanas (なな). These are your grandmas, cloned. Just think, ""It's lucky to have seven nanas. They can all cook my favorite foods for me!""",ナナꜜツ,level1 vocab
大きさ,size,NOUN,おおきさ,このテーブルの大きさは、よこ100センチ、たて120センチです。,The size of this table is 100cm in width and 120cm in length.,テレビの大きさは三十二インチです。,The size of the TV is 32 inches.,ロナルド・マクドナルドはいつも大きさのちがうくつをはいていた。,Ronald McDonald always wore different-sized shoes.,"Words that end with さ are often words that have taken the adjective form (in this case 大きい) of the word and turned into words that describe what the adjective form is doing, if that makes sense. So 大きい (big) goes to 大きさ, and the word that describes what ""big"" describes is the word size.","When a vocab has okurigana (hiragana attached to the kanji) it is probably going to be the kun'yomi reading. Since you learned the on'yomi reading with the kanji 大, we'll have to use a mnemonic to remember this word. When you saw the size of (pick something surprising), you said ""おお *#$@!"" Really imagine something surprising. Say the おお part out loud, as well. Think about the size of whatever you're looking at, too, and how big it is.",オーキサ,level1 vocab
十,ten,NUMERAL,じゅう,わたしは、ツバメを十わかっています。,I have ten swallows.,あと二かで、十二がつですね。,It'll be December in two days.,十ねんかん十にんのじゅうにんとくらした。,For ten years I lived with ten other people.,When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it tends to steal its meaning from the kanji it came from. That means this vocab word also means ten.,"When a vocab is alone and consists of a single kanji like this, usually it uses the kun'yomi reading for the kanji. But, numbers are an exception and they use the on'yomi reading (which you learned when you learned the kanji). That means you know that this word's reading is じゅう already.",ジュꜜー *** トꜜー *** トー,level1 vocab
三,three,NUMERAL,さん,このもんだいようしは、ぜんぶで三ページあります。,There are three pages of these questions total.,わたしは三十二さいです。,I’m 32 years old.,三かいまわってワンとほえろ。,Turn around three times and bark!,"When a vocab is a single kanji and alone like this, it usually steals its meaning from the parent kanji. That goes for this word too, making the meaning of this word three.","When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it usually uses its kun'yomi reading. Numbers are an exception, though, and use the on'yomi reading. You learned the on'yomi reading when you learned this kanji, so you already know that the reading for this vocab is さん.",サン,level1 vocab
三人,three people,NOUN,さんにん,わたしには、きょうだいが三人います。,I have three siblings.,その川には二、三人しかいませんでした。,There were only two or three people in the river.,三人のうちで、だれがいちばんタイプ？,"Out of those three people, which one is your type?",You have the kanji for three and person. Common sense will tell you what this word is. It's three people.,This jukugo (combo kanji) word uses the on'yomi readings that you learned when you learned the kanji. That means you should know the reading as long as you know the kanji.,,level1 vocab
